0	1019506
277	1918
1	913307
278	2113
2	557350
279	2124
3	447145
280	1958
557	1
4	392250
281	1975
5	346079
282	2036
6	293887
283	1916
7	252268
284	1918
8	214787
285	1921
9	193506
286	1853
10	181496
287	1757
564	1
11	176632
288	1792
12	170801
289	1792
13	159164
290	1777
567	1
14	147771
291	1794
15	136546
292	1786
16	133425
293	1831
17	134780
294	1659
18	137656
295	1573
19	136325
296	1504
20	128582
297	1507
574	1
21	119883
298	1368
22	114938
299	1406
23	111881
300	1285
24	111636
301	1227
25	112251
302	1125
579	2
26	111734
303	1047
27	104889
304	912
581	1
28	98518
305	840
29	95686
306	779
30	96136
307	775
31	101383
308	674
32	100807
309	617
33	98838
310	577
34	92385
311	554
35	87206
312	540
36	84634
313	575
37	83501
314	576
38	84069
315	532
592	1
39	84699
316	501
593	1
40	81104
317	517
41	76625
318	509
42	72215
319	533
43	69768
320	587
44	68544
321	570
45	68246
322	565
46	68542
323	550
47	65839
324	531
48	60646
325	541
49	55712
326	543
603	1
50	54009
327	579
51	52662
328	523
52	52594
329	574
53	53334
330	533
607	2
54	52170
331	586
55	49880
332	591
56	46608
333	545
57	44938
334	580
58	45379
335	584
59	46097
336	503
60	47231
337	522
61	45429
338	481
62	41846
339	451
63	39437
340	503
617	1
64	38297
341	532
65	38561
342	497
66	39082
343	461
67	39913
344	474
621	2
68	39606
345	471
69	38078
346	482
70	35619
347	451
71	35220
348	444
72	35446
349	417
73	36352
350	310
74	37162
351	251
75	37242
352	256
76	35810
353	263
77	34173
354	237
631	1
78	33092
355	239
79	33630
356	252
80	34559
357	213
81	35836
358	131
82	35897
359	107
83	35055
360	112
84	33062
361	110
85	32048
362	92
86	32735
363	76
87	33398
364	53
88	34080
365	67
89	33803
366	17
90	32224
367	6
644	2
91	30183
368	2
645	1
92	29614
369	4
93	29372
370	1
94	29693
371	5
95	30297
372	6
96	30701
373	6
97	29886
374	3
98	28116
375	2
652	1
99	27128
376	4
100	27014
377	4
101	27093
378	6
102	27956
379	4
103	28323
380	3
657	1
104	27395
381	5
105	26527
382	3
106	25694
383	5
107	25773
384	3
108	25663
109	26212
386	6
110	26360
387	3
111	26213
388	2
112	24941
389	1
113	24407
390	2
114	23908
391	1
115	24236
669	1
116	24999
670	1
117	25249
118	24937
119	23706
396	2
120	23357
397	3
121	22942
122	23525
123	23735
400	4
124	24571
401	4
125	23918
402	3
126	23311
403	4
127	22835
404	1
128	22400
405	3
129	22767
406	4
130	23286
407	2
131	24013
408	1
132	23820
409	3
686	1
133	22530
134	21715
411	2
135	21912
412	3
136	21879
413	4
137	22340
138	22410
415	2
139	22436
416	3
140	21111
417	4
141	20603
418	1
142	20256
419	2
143	20129
420	2
144	20493
145	20524
422	2
146	20302
147	19033
424	1
148	18431
425	4
979	1
149	17902
426	3
-2	2
150	17734
427	2
-1	91001
151	18088
428	3
152	18148
429	1
153	17627
430	4
154	16524
431	2
155	15684
432	1
156	15289
157	14819
158	15045
435	3
159	15024
436	3
713	1
160	14235
437	2
161	13669
162	12777
163	12660
164	12382
165	12497
166	12224
167	11873
444	1
168	11362
445	1
169	10612
170	10417
171	10251
172	10325
449	3
173	10181
174	9762
451	1
175	9412
452	2
176	8733
453	2
177	8675
454	2
178	8850
455	1
179	9103
456	1
180	9009
181	8354
182	7937
459	2
183	7696
184	7874
185	7538
462	1
186	7655
187	7641
464	2
188	7296
465	1
189	6771
190	6765
467	3
191	6493
468	2
192	6581
469	2
193	6567
747	1
194	6485
471	2
195	6286
472	2
196	5819
473	1
197	5614
751	1
198	5655
199	5528
476	1
200	5420
477	2
201	5394
478	1
202	5110
479	1
756	1
203	4867
757	1
204	4672
205	4712
206	4761
483	1
207	4553
484	1
208	4597
209	4276
210	3893
211	3732
765	1
212	3809
489	2
213	3782
490	1
214	3881
215	3775
492	1
216	3433
217	3404
494	1
218	3190
219	2907
220	2982
221	2960
222	2895
499	1
223	2818
224	2625
225	2415
502	1
226	2245
227	2411
504	1
228	2526
782	1
229	2352
230	2300
231	2135
508	1
232	2001
233	1949
234	1973
235	1998
236	2031
513	1
237	1885
514	1
238	1786
515	2
792	1
239	1665
240	1683
517	2
241	1702
242	1766
243	1649
520	1
244	1627
245	1547
246	1461
523	1
247	1550
248	1497
249	1518
526	1
250	1633
251	1496
252	1435
529	1
253	1416
254	1346
808	1
255	1459
256	1459
533	1
257	1495
534	1
258	1488
259	1305
813	1
260	1276
537	1
261	1448
538	1
262	1379
263	1422
540	1
264	1386
265	1475
266	1437
543	1
267	1438
268	1539
545	1
269	1517
270	1608
271	1790
272	1833
273	1795
550	3
274	1862
551	1
275	1959
276	2064
553	2
